Country Name,Average,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kenya,4.286523328,,,,,,,,,,3.420391618,3.005967995,2.984882078,2.892565857,3.104033634,4.74058784,4.656669702,5.345796612,5.44019104,5.465474497,5.008229357,4.786577193,4.87343584
New Caledonia,4.031630422,,,,,,,,,,,,3.3835938,4.997313944,4.512154102,3.233459842,,,,,,,
India,4.018427524,4.36626278,4.395079846,4.352470695,4.473273534,4.233402404,4.87573767,4.610734582,4.469690045,4.000892223,4.128276621,3.941461758,3.881227606,3.845276037,3.842385573,3.773789604,3.774226545,3.819645912,3.758948904,3.588249344,3.660057954,3.390616482,3.223699409
Aruba,4.00355956,,,,,,,4.305797757,5.263601145,4.122988755,2.025583115,5.998140576,4.958743256,2.963841138,4.933253086,3.942712389,3.934335933,1.959766004,3.899509637,5.814685959,1.92687509,,
Lebanon,3.997819177,,,,,,,,,,,,,,4.451420769,3.466282395,3.758236128,3.661432562,3.94597352,4.472999195,4.283206315,3.947719884,3.993101823
Malawi,3.990093537,,,,,,6.15321217,7.695028575,4.719607455,2.431771188,3.242338024,1.533776324,6.113515396,4.985200097,5.465539981,2.174710536,3.428474602,2.194832251,1.733209379,,,,
Uzbekistan,3.981647309,5.04813464,4.938440392,4.437572989,4.414063713,4.143944616,4.297973514,4.291636426,4.147088203,3.728127881,3.677324205,3.432384145,3.201902488,2.986182038,2.99828708,,,,,,,,
Tajikistan,3.961847744,7.531940623,8.258914936,8.376532186,8.145759659,5.848367077,4.55261691,3.682557244,2.791698358,2.493584721,2.115348777,2.290574389,2.771208062,1.845538237,1.36803996,1.298037595,2.368604604,1.612088308,,,,,
Timor-Leste,3.865445381,,,,,,,,,,2.30761976,4.481316806,4.672803615,5.821743838,3.246421979,2.930346578,3.51480861,,,,,3.948501866,
Sao Tome and Principe,3.844410585,,,,,,,,,,,,2.510544286,2.452468103,8.387603123,2.927177674,3.432965625,3.355704698,,,,,
Tonga,3.799346086,,,,,,1.019555066,6.084513898,6.0493628,6.012686769,1.991912834,3.958789006,7.867124271,0.9769727522,3.883306636,7.721709587,0.9602734859,1.912466412,0.9528256043,,,,
Cambodia,3.7501021,3.554407004,4.729965237,6.759759264,6.615981408,4.75278406,4.698678133,3.281603596,3.363744486,3.960126737,3.911699096,3.375985036,2.968572686,2.873501657,2.39904747,2.34914914,2.313271469,1.843459221,,,,,
Liberia,3.655738486,,,,,,,,,,,,,2.846624984,4.832114066,3.804248585,3.267373753,3.955611649,3.228457876,,,,
Kosovo,3.643101308,,,,,,,,,,,,,,6.466813515,4.144256458,5.969544062,3.46175321,4.985597164,2.247683789,2.250521462,1.665001665,1.596740447
Tuvalu,3.413900095,,,,,,,,0,0,0,0,0,0,0,0,9.49577438,9.409108017,18.64801865,,,,
Chile,3.393134412,,,,,,,,,3.246929563,,3.567211971,3.615242155,3.735215203,3.529000401,3.743439622,3.183597541,3.707729047,2.50725805,3.183877759,3.622160309,3.006302934,3.462782804
Libya,3.24327649,,,,,,3.697984951,,,,,3.660897738,,,,,3.110346388,,,,,2.503876882,
Guam,3.214826334,,,,,,1.287589568,5.115056809,1.272466995,5.072472957,5.692635627,4.419136122,6.933588826,0.6295048944,0.6287924042,3.140092067,1.881538346,2.505041396,,,,,
Montenegro,3.142624262,,,,,,,,4.401824638,3.256814477,2.275886173,3.569180451,4.046407438,1.937096035,3.863458923,3.371587472,2.402748745,3.35749665,2.713981475,1.59465726,3.186367446,2.706239314,4.455617436
Palau,3.112429425,,,,,,,,,,,,,,,,,,3.112429425,,,,
Bulgaria,2.989577714,5.911478128,5.294323917,4.854837907,4.686183164,4.053530904,4.151148311,3.883717464,3.24176471,3.165091831,3.151125933,2.589876861,2.439357379,2.339119769,2.290178689,2.01179448,1.998760228,1.740025744,1.928763513,1.500108517,1.60617102,1.797309219,1.136042013
Nepal,2.834949314,,,2.533956337,2.7950923,2.64423993,2.674707807,3.509675634,3.492583471,3.033992378,3.698223537,3.424298644,2.351524547,3.208105697,3.369106929,3.014086592,3.008533021,2.484708704,2.321886949,2.165421787,1.970113519,,2.163779187
Rwanda,2.816751186,,,,,,,,,,,,3.464913138,2.836758719,1.48328691,,2.839899356,,2.372819428,3.244420252,3.772468332,2.519443353,
Equatorial Guinea,2.769373838,,,,,,3.292607867,,,,,2.887224677,,,,,2.592428999,,,,,2.305233807,
Armenia,2.750141018,3.598938065,3.59373744,3.189959539,2.991218362,2.912033298,2.964567232,2.884626416,2.274302654,2.518385874,2.766102382,1.945486789,2.670272097,2.625248205,3.335373527,3.358046711,1.946261631,2.469066251,2.255439252,2.177287162,2.477444928,2.5711788,2.978125769
"Iran, Islamic Rep.",2.724022514,,,,,,,,,2.620155377,2.894403817,,,,,3.005934583,,,,2.630580356,2.469038437,,
Bangladesh,2.663913786,,,,,,2.540635674,2.742582872,2.564409147,2.496780998,2.761354,2.504338302,2.86583009,2.625405219,2.754596672,2.804166155,2.621113071,2.576798537,2.641801743,2.787944393,2.831775728,2.503087979,
Mauritius,2.661974064,2.19857919,2.95537043,2.064715052,2.641780526,1.941796753,2.193824384,,,3.225822461,2.879054222,3.027815807,4.071336327,3.646940501,3.873176077,3.054603448,2.644326118,2.717775772,2.313760251,2.788200336,1.511272101,1.667386554,1.821944963
Tunisia,2.558101117,,,,,,,,,,1.946573835,2.573624977,2.442101596,2.650977798,2.690409919,2.423531867,2.687987356,,3.049601586,,,,
Fiji,2.550331848,,,,,,,,,3.061369436,2.810519653,2.798676591,2.658896244,2.515536432,2.015794342,3.403887709,2.325716611,2.30657628,2.289387772,2.159790387,2.257830721,,
Vanuatu,2.456973427,,,,,,2.913910328,,,,,2.474884683,,,,,2.3101749,,,,,2.128923797,
Bhutan,2.449538597,,,,,,3.139082272,3.222523745,3.13325055,0.802009515,2.34271774,1.675197483,1.338831468,2.037970298,2.567943505,2.239459842,2.198886539,4.321346099,4.382662188,3.137414849,,1.524030145,1.129291307
Azerbaijan,2.343128194,,,,,,2.78231203,2.659419058,2.561309844,2.188639431,2.379012987,2.248610605,2.201572502,2.166361924,2.176399935,,2.280664054,,2.180267778,2.354748008,2.483224817,,2.141251748
Israel,2.328686373,2.10049401,2.132400569,2.770484044,2.549819041,2.325042267,2.444401912,3.638125599,3.638237394,3.071098771,2.674364301,2.514020206,2.694216361,1.805657776,1.916191963,1.761170188,1.952609757,1.995039091,1.740462041,,1.485897386,1.363994779,
Syrian Arab Republic,2.294691691,,,1.99239873,2.210479198,2.11907493,2.175390327,2.242513657,2.153570529,2.325545875,2.392366263,2.350418929,2.357919864,2.714843716,2.6026493,2.28572603,2.20278632,,,,,,
